Title,Actors,Director,Genre,Year,Runtime
Iron Man 3,Robert Downey Jr.; Gwyneth Paltrow; Don Cheadle,Shane Black,Action; Adventure; Science Fiction,2013,130
DragonHeart,Dennis Quaid; David Thewlis; Pete Postlethwaite,Rob Cohen,Fantasy,1996,103
Saw,Cary Elwes; Danny Glover; Monica Potter,James Wan,Horror; Mystery; Crime,2004,103
The Revenant,Leonardo DiCaprio; Tom Hardy; Will Poulter,Alejandro González Iñárritu,Western; Drama; Adventure; Thriller,2015,156
Beauty and the Beast,Paige O'Hara; Robby Benson; Richard White,Gary Trousdale,Romance; Family; Animation; Fantasy; Music,1991,84
The Big Sick,Kumail Nanjiani; Zoe Kazan; Holly Hunter,Michael Showalter,Comedy; Drama; Romance,2017,120
Alien,Tom Skerritt; Sigourney Weaver; Veronica Cartwright,Ridley Scott,Horror; Action; Thriller; Science Fiction,1979,117
Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe; Emma Watson; Rupert Grint,David Yates,Adventure; Fantasy; Family,2010,146
The Hobbit: An Unexpected Journey,Ian McKellen; Martin Freeman; Richard Armitage,Peter Jackson,Adventure; Fantasy; Action,2012,169
Power Rangers,Dacre Montgomery; Naomi Scott; RJ Cyler,Dean Israelite,Action; Adventure; Science Fiction,2017,124
Annabelle,Annabelle Wallis; Ward Horton; Tony Amendola,John R. Leonetti,Horror,2014,99
The Purge,Lena Headey; Ethan Hawke; Max Burkholder,James DeMonaco,Science Fiction; Horror; Thriller,2013,86
Gladiator,Russell Crowe; Joaquin Phoenix; Connie Nielsen,Ridley Scott,Action; Drama; Adventure,2000,155
Casino Royale,Daniel Craig; Eva Green; Mads Mikkelsen,Martin Campbell,Adventure; Action; Thriller,2006,144
The Jungle Book,Bruce Reitherman; Phil Harris; Sebastian Cabot,Wolfgang Reitherman,Family; Animation; Adventure,1967,78
Fist Fight,Charlie Day; Ice Cube; Tracy Morgan,Richie Keen,Comedy,2017,91
Train to Busan,Gong Yoo; Ma Dong-seok; Jung Yu-mi, Yeon Sang-Ho,Action; Horror; Thriller,2016,118
Terminator 2: Judgment Day,Arnold Schwarzenegger; Linda Hamilton; Robert Patrick,James Cameron,Action; Thriller; Science Fiction,1991,137
2001: A Space Odyssey,Keir Dullea; Gary Lockwood; William Sylvester,Stanley Kubrick,Science Fiction; Mystery; Adventure,1968,149
Teenage Mutant Ninja Turtles,Megan Fox; Will Arnett; William Fichtner,Jonathan Liebesman,Science Fiction; Action; Adventure; Fantasy; Comedy,2014,101
Tomorrowland,Britt Robertson; George Clooney; Raffey Cassidy,Brad Bird,Adventure; Family; Mystery; Science Fiction,2015,130
Despicable Me,Steve Carell; Jason Segel; Russell Brand,Pierre Coffin,Animation; Family,2010,95
The Incredibles,Craig T. Nelson; Holly Hunter; Samuel L. Jackson,Brad Bird,Action; Adventure; Animation; Family,2004,115
Angels & Demons,Tom Hanks; Ewan McGregor; Ayelet Zurer,Ron Howard,Thriller; Mystery,2009,138
Penguins of Madagascar,Tom McGrath; Chris Miller; Christopher Knights,Eric Darnell,Family; Animation; Adventure; Comedy,2014,92
Ghostbusters,Bill Murray; Dan Aykroyd; Sigourney Weaver,Ivan Reitman,Comedy; Fantasy,1984,107
Iron Man,Robert Downey Jr.; Terrence Howard; Jeff Bridges,Jon Favreau,Action; Science Fiction; Adventure,2008,126
The Wizard of Oz,Judy Garland; Frank Morgan; Ray Bolger,Victor Fleming,Adventure; Family; Fantasy,1939,102
Charlie and the Chocolate Factory,Johnny Depp; Freddie Highmore; David Kelly,Tim Burton,Adventure; Comedy; Family; Fantasy,2005,115
Stonehearst Asylum,Kate Beckinsale; Jim Sturgess; David Thewlis,Brad Anderson,Thriller,2014,112
Toy Story,Tom Hanks; Tim Allen; Don Rickles,John Lasseter,Animation; Comedy; Family,1995,81
The Hangover Part II,Bradley Cooper; Ed Helms; Zach Galifianakis,Todd Phillips,Comedy,2011,102
I.T.,Pierce Brosnan; Stefanie Scott; James Frecheville,John Moore,Crime; Drama; Thriller,2016,96
The Lost City of Z,Charlie Hunnam; Robert Pattinson; Sienna Miller,James Gray,Action; Adventure; Drama; History,2016,140
Aliens,Sigourney Weaver; Michael Biehn; James Remar,James Cameron,Horror; Action; Thriller; Science Fiction,1986,137
Saving Private Ryan,Tom Hanks; Matt Damon; Vin Diesel,Steven Spielberg,Drama; History; War,1998,169
Seven Pounds,Will Smith; Rosario Dawson; Sarah Jane Morris,Gabriele Muccino,Drama,2008,123
The Lion King,Jonathan Taylor Thomas; Matthew Broderick; James Earl Jones,Roger Allers,Family; Animation; Drama,1994,89
Divergent,Shailene Woodley; Theo James; Kate Winslet,Neil Burger,Adventure; Action; Science Fiction,2014,139
Kill Bill: Vol. 2,Uma Thurman; David Carradine; Daryl Hannah,Quentin Tarantino,Action; Crime; Thriller,2004,136
Enigma,Dougray Scott; Kate Winslet; Saffron Burrows,Michael Apted,Mystery; Drama; Thriller; Romance; War,2001,119
I Spit on Your Grave III: Vengeance is Mine,Sarah Butler; Jennifer Landon; Doug McKeon,R.D. Braunstein,Horror; Thriller,2015,91
Jupiter Ascending,Mila Kunis; Channing Tatum; Sean Bean,Lilly Wachowski,Science Fiction; Fantasy; Action; Adventure,2015,124
